2026-03-28 12:24:16 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=13h16m25s135ms845µs).
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : End of message processing - session: 57c89995-df33-5942-f464-c6c0f2bcd648 from: t1
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : New message from user: t1
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDY5OTMwNywiZXhwIjoxNzc0NzAwMjA3fQ.cjZiy7UiZbLTGKUWPTN8upnXE0Q_jq3zLhisRER9p55RK-Y0gXnV5UtLVZPGfNSW, Granted Authorities=[USER]]
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : Sending message to owner: 57c89995-df33-5942-f464-c6c0f2bcd648
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : End of message processing - session: 57c89995-df33-5942-f464-c6c0f2bcd648 from: t1
2026-03-28 13:03:09 [tomcat-handler-41] INFO  : Session closing: 57c89995-df33-5942-f464-c6c0f2bcd648 - reason: null
2026-03-28 13:03:41 [tomcat-handler-42] INFO  : New session connected: 07cb0506-5eb2-3fe7-1661-53d1abb1051c, user: t1
2026-03-28 13:03:41 [tomcat-handler-43] INFO  : New message from user: t1
2026-03-28 13:03:41 [tomcat-handler-43] INFO  : End of message processing - session: 07cb0506-5eb2-3fe7-1661-53d1abb1051c from: t1
2026-03-28 13:03:41 [tomcat-handler-43] INFO  : New message from user: t1
2026-03-28 13:03:41 [tomcat-handler-43] INFO  : End of message processing - session: 07cb0506-5eb2-3fe7-1661-53d1abb1051c from: t1
2026-03-28 13:03:41 [tomcat-handler-43] INFO  : New message from user: t1
2026-03-28 13:03:41 [tomcat-handler-43] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 13:03:41 [tomcat-handler-43] INFO  : End of message processing - session: 07cb0506-5eb2-3fe7-1661-53d1abb1051c from: t1
2026-03-28 13:03:41 [tomcat-handler-43] INFO  : New message from user: t1
2026-03-28 13:03:41 [tomcat-handler-43] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDY5OTQyMSwiZXhwIjoxNzc0NzAwMzIxfQ.2TOKKKjQIODX3q9u-M5puEs1jXNppeU5diQMdIUH0Z6jYhACzY9BQjzdtx9X7wYN, Granted Authorities=[USER]]
2026-03-28 13:03:42 [tomcat-handler-43] INFO  : Sending message to owner: 07cb0506-5eb2-3fe7-1661-53d1abb1051c
2026-03-28 13:03:42 [tomcat-handler-43] INFO  : End of message processing - session: 07cb0506-5eb2-3fe7-1661-53d1abb1051c from: t1
2026-03-28 13:06:30 [tomcat-handler-44] INFO  : Session closing: 07cb0506-5eb2-3fe7-1661-53d1abb1051c - reason: null
2026-03-28 13:07:51 [tomcat-handler-45] INFO  : New session connected: 7fabb03e-1f1c-c504-5251-f7adcb86cf9e, user: t1
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : New message from user: t1
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : End of message processing - session: 7fabb03e-1f1c-c504-5251-f7adcb86cf9e from: t1
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : New message from user: t1
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : End of message processing - session: 7fabb03e-1f1c-c504-5251-f7adcb86cf9e from: t1
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : New message from user: t1
2026-03-28 13:07:51 [tomcat-handler-46] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : End of message processing - session: 7fabb03e-1f1c-c504-5251-f7adcb86cf9e from: t1
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : New message from user: t1
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDY5OTY3MSwiZXhwIjoxNzc0NzAwNTcxfQ.Fxw-2seYLRybxRm_eNSAAwnDyaI1nuc9V6WbnvQVzACPX00F5aZU5negEbi1CQ39, Granted Authorities=[USER]]
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : Sending message to owner: 7fabb03e-1f1c-c504-5251-f7adcb86cf9e
2026-03-28 13:07:51 [tomcat-handler-46] INFO  : End of message processing - session: 7fabb03e-1f1c-c504-5251-f7adcb86cf9e from: t1
2026-03-28 13:15:39 [tomcat-handler-47] INFO  : Session closing: 7fabb03e-1f1c-c504-5251-f7adcb86cf9e - reason: null
2026-03-28 13:15:43 [tomcat-handler-48] INFO  : New session connected: 71a9d97c-f82d-900d-ffdd-2bd95d95ddc3, user: t1
2026-03-28 13:15:43 [tomcat-handler-49] INFO  : New message from user: t1
2026-03-28 13:15:43 [tomcat-handler-49] INFO  : End of message processing - session: 71a9d97c-f82d-900d-ffdd-2bd95d95ddc3 from: t1
2026-03-28 13:15:43 [tomcat-handler-49] INFO  : New message from user: t1
2026-03-28 13:15:43 [tomcat-handler-49] INFO  : End of message processing - session: 71a9d97c-f82d-900d-ffdd-2bd95d95ddc3 from: t1
2026-03-28 13:15:43 [tomcat-handler-49] INFO  : New message from user: t1
2026-03-28 13:15:43 [tomcat-handler-49] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 13:15:43 [tomcat-handler-49] INFO  : End of message processing - session: 71a9d97c-f82d-900d-ffdd-2bd95d95ddc3 from: t1
2026-03-28 13:15:43 [tomcat-handler-49] INFO  : New message from user: t1
2026-03-28 13:15:43 [tomcat-handler-49] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDY5OTY3MSwiZXhwIjoxNzc0NzAwNTcxfQ.Fxw-2seYLRybxRm_eNSAAwnDyaI1nuc9V6WbnvQVzACPX00F5aZU5negEbi1CQ39, Granted Authorities=[USER]]
2026-03-28 13:15:44 [tomcat-handler-49] INFO  : Sending message to owner: 71a9d97c-f82d-900d-ffdd-2bd95d95ddc3
2026-03-28 13:15:44 [tomcat-handler-49] INFO  : End of message processing - session: 71a9d97c-f82d-900d-ffdd-2bd95d95ddc3 from: t1
2026-03-28 13:18:13 [tomcat-handler-50] INFO  : Session closing: 71a9d97c-f82d-900d-ffdd-2bd95d95ddc3 - reason: null
2026-03-28 13:29:21 [tomcat-handler-51] INFO  : New session connected: 5eb7b1df-ca60-b223-52f5-c0e722bdd054, user: t1
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : New message from user: t1
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : End of message processing - session: 5eb7b1df-ca60-b223-52f5-c0e722bdd054 from: t1
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : New message from user: t1
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : End of message processing - session: 5eb7b1df-ca60-b223-52f5-c0e722bdd054 from: t1
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : New message from user: t1
2026-03-28 13:29:21 [tomcat-handler-52] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : End of message processing - session: 5eb7b1df-ca60-b223-52f5-c0e722bdd054 from: t1
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : New message from user: t1
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwMDk2MSwiZXhwIjoxNzc0NzAxODYxfQ.pgq3llrf8YZ9mtHZphUn2tA5wcWNwhVsdHCRdFsefWffXpnDHur8cG4h909ZA4vn, Granted Authorities=[USER]]
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : Sending message to owner: 5eb7b1df-ca60-b223-52f5-c0e722bdd054
2026-03-28 13:29:21 [tomcat-handler-52] INFO  : End of message processing - session: 5eb7b1df-ca60-b223-52f5-c0e722bdd054 from: t1
2026-03-28 13:42:25 [tomcat-handler-53] INFO  : Session closing: 5eb7b1df-ca60-b223-52f5-c0e722bdd054 - reason: null
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : New session connected: 03147f2e-e477-9e80-f043-f54491b371ed, user: t1
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : New message from user: t1
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : End of message processing - session: 03147f2e-e477-9e80-f043-f54491b371ed from: t1
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : New message from user: t1
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : End of message processing - session: 03147f2e-e477-9e80-f043-f54491b371ed from: t1
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : New message from user: t1
2026-03-28 14:15:06 [tomcat-handler-54] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : End of message processing - session: 03147f2e-e477-9e80-f043-f54491b371ed from: t1
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : New message from user: t1
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwMzcwNiwiZXhwIjoxNzc0NzA0NjA2fQ.llzgSwKF4b2PmyGP59GP06_qgr6VlFLqwMi7O8lw95ri1r_OZkJzTJ-uOw6HJaDR, Granted Authorities=[USER]]
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : Sending message to owner: 03147f2e-e477-9e80-f043-f54491b371ed
2026-03-28 14:15:06 [tomcat-handler-54] INFO  : End of message processing - session: 03147f2e-e477-9e80-f043-f54491b371ed from: t1
2026-03-28 14:15:12 [tomcat-handler-55] INFO  : Session closing: 03147f2e-e477-9e80-f043-f54491b371ed - reason: null
2026-03-28 14:18:25 [tomcat-handler-56] INFO  : New session connected: 1287dc82-a811-8fd0-c422-45d21ebfe807, user: t1
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : New message from user: t1
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : End of message processing - session: 1287dc82-a811-8fd0-c422-45d21ebfe807 from: t1
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : New message from user: t1
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : End of message processing - session: 1287dc82-a811-8fd0-c422-45d21ebfe807 from: t1
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : New message from user: t1
2026-03-28 14:18:25 [tomcat-handler-57] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : End of message processing - session: 1287dc82-a811-8fd0-c422-45d21ebfe807 from: t1
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : New message from user: t1
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwMzkwNSwiZXhwIjoxNzc0NzA0ODA1fQ.GZBbbKxw5kuFtwEDCjQpcnYIbz65QnDMElzsuRKSjEuC0EWVLQLvNmROqygxyx4V, Granted Authorities=[USER]]
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : Sending message to owner: 1287dc82-a811-8fd0-c422-45d21ebfe807
2026-03-28 14:18:25 [tomcat-handler-57] INFO  : End of message processing - session: 1287dc82-a811-8fd0-c422-45d21ebfe807 from: t1
2026-03-28 14:20:55 [tomcat-handler-58] INFO  : Session closing: 1287dc82-a811-8fd0-c422-45d21ebfe807 - reason: null
2026-03-28 14:21:51 [tomcat-handler-59] INFO  : New session connected: 25356329-6f1e-336c-120e-dababf629f46, user: t1
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : New message from user: t1
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : End of message processing - session: 25356329-6f1e-336c-120e-dababf629f46 from: t1
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : New message from user: t1
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : End of message processing - session: 25356329-6f1e-336c-120e-dababf629f46 from: t1
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : New message from user: t1
2026-03-28 14:21:51 [tomcat-handler-60] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : End of message processing - session: 25356329-6f1e-336c-120e-dababf629f46 from: t1
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : New message from user: t1
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNDExMSwiZXhwIjoxNzc0NzA1MDExfQ.JUayHeuvmDJAk1WXebc1n95unfl1dtGExstrbqtGvlB8eM560QHAcsMcbdBDrlJZ, Granted Authorities=[USER]]
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : Sending message to owner: 25356329-6f1e-336c-120e-dababf629f46
2026-03-28 14:21:51 [tomcat-handler-60] INFO  : End of message processing - session: 25356329-6f1e-336c-120e-dababf629f46 from: t1
2026-03-28 14:37:39 [tomcat-handler-61] INFO  : Session closing: 25356329-6f1e-336c-120e-dababf629f46 - reason: null
2026-03-28 14:38:51 [tomcat-handler-62] INFO  : New session connected: ef3e896c-aa61-7098-ccf9-919eabbd92f1, user: t1
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : New message from user: t1
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : End of message processing - session: ef3e896c-aa61-7098-ccf9-919eabbd92f1 from: t1
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : New message from user: t1
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : End of message processing - session: ef3e896c-aa61-7098-ccf9-919eabbd92f1 from: t1
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : New message from user: t1
2026-03-28 14:38:51 [tomcat-handler-63] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : End of message processing - session: ef3e896c-aa61-7098-ccf9-919eabbd92f1 from: t1
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : New message from user: t1
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNDgyMywiZXhwIjoxNzc0NzA1NzIzfQ.w8xZrOQOw2kapNmj8IJkPJpal6jqBg-XQmiOla-laNoDbv7NvLJ1VFGAbEErjisx, Granted Authorities=[USER]]
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : Sending message to owner: ef3e896c-aa61-7098-ccf9-919eabbd92f1
2026-03-28 14:38:51 [tomcat-handler-63] INFO  : End of message processing - session: ef3e896c-aa61-7098-ccf9-919eabbd92f1 from: t1
2026-03-28 14:41:27 [tomcat-handler-64] INFO  : Session closing: ef3e896c-aa61-7098-ccf9-919eabbd92f1 - reason: null
2026-03-28 14:41:30 [tomcat-handler-65] INFO  : New session connected: b49f6e33-4961-6ade-2417-37b064a3056c, user: t1
2026-03-28 14:41:30 [tomcat-handler-66] INFO  : New message from user: t1
2026-03-28 14:41:30 [tomcat-handler-66] INFO  : End of message processing - session: b49f6e33-4961-6ade-2417-37b064a3056c from: t1
2026-03-28 14:41:30 [tomcat-handler-66] INFO  : New message from user: t1
2026-03-28 14:41:30 [tomcat-handler-66] INFO  : End of message processing - session: b49f6e33-4961-6ade-2417-37b064a3056c from: t1
2026-03-28 14:41:30 [tomcat-handler-66] INFO  : New message from user: t1
2026-03-28 14:41:30 [tomcat-handler-66] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 14:41:30 [tomcat-handler-66] INFO  : End of message processing - session: b49f6e33-4961-6ade-2417-37b064a3056c from: t1
2026-03-28 14:41:30 [tomcat-handler-67] INFO  : New message from user: t1
2026-03-28 14:41:30 [tomcat-handler-67] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNDgyMywiZXhwIjoxNzc0NzA1NzIzfQ.w8xZrOQOw2kapNmj8IJkPJpal6jqBg-XQmiOla-laNoDbv7NvLJ1VFGAbEErjisx, Granted Authorities=[USER]]
2026-03-28 14:41:30 [tomcat-handler-67] INFO  : Sending message to owner: b49f6e33-4961-6ade-2417-37b064a3056c
2026-03-28 14:41:30 [tomcat-handler-67] INFO  : End of message processing - session: b49f6e33-4961-6ade-2417-37b064a3056c from: t1
