2026-03-29 00:03:15 [tomcat-handler-11] INFO  : Session closing: 824e16d8-107d-9b65-05fd-8549b255ae08 - reason: null
2026-03-29 00:20:01 [tomcat-handler-35] INFO  : /postShoppingItem connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDczOTk0NiwiZXhwIjoxNzc0NzQwODQ2fQ.PPWUG6GkFp8O4t7symhxPjeNiYy5eFLhfLAdU3mHXomvCS_XoMcaMBDV38y77NNn, Granted Authorities=[USER]]
2026-03-29 00:20:01 [tomcat-handler-35] ERROR : pl.kamjer.shoppinglistservice.exception.NoResourcesFoundException: No such topic exists
2026-03-29 00:20:01 [tomcat-handler-35] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 00:20:24 [tomcat-handler-36] INFO  : New message from user: t1
2026-03-29 00:20:24 [tomcat-handler-36] INFO  : /postShoppingItem connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDczOTk0NiwiZXhwIjoxNzc0NzQwODQ2fQ.PPWUG6GkFp8O4t7symhxPjeNiYy5eFLhfLAdU3mHXomvCS_XoMcaMBDV38y77NNn, Granted Authorities=[USER]]
2026-03-29 00:20:24 [tomcat-handler-36] ERROR : pl.kamjer.shoppinglistservice.exception.NoResourcesFoundException: No such topic exists
2026-03-29 00:20:24 [tomcat-handler-36] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 00:20:25 [tomcat-handler-37] INFO  : New message from user: t1
2026-03-29 00:20:25 [tomcat-handler-37] INFO  : /postShoppingItem connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDczOTk0NiwiZXhwIjoxNzc0NzQwODQ2fQ.PPWUG6GkFp8O4t7symhxPjeNiYy5eFLhfLAdU3mHXomvCS_XoMcaMBDV38y77NNn, Granted Authorities=[USER]]
2026-03-29 00:20:25 [tomcat-handler-37] ERROR : pl.kamjer.shoppinglistservice.exception.NoResourcesFoundException: No such topic exists
2026-03-29 00:20:25 [tomcat-handler-37] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 00:20:25 [tomcat-handler-38] INFO  : New message from user: t1
2026-03-29 00:20:25 [tomcat-handler-38] INFO  : /postShoppingItem connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDczOTk0NiwiZXhwIjoxNzc0NzQwODQ2fQ.PPWUG6GkFp8O4t7symhxPjeNiYy5eFLhfLAdU3mHXomvCS_XoMcaMBDV38y77NNn, Granted Authorities=[USER]]
2026-03-29 00:20:25 [tomcat-handler-38] ERROR : pl.kamjer.shoppinglistservice.exception.NoResourcesFoundException: No such topic exists
2026-03-29 00:20:25 [tomcat-handler-38] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 01:27:58 [tomcat-handler-39] INFO  : Session closing: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e - reason: null
2026-03-29 01:52:46 [tomcat-handler-46] INFO  : New session connected: abbb2b38-7c4b-55bc-0094-018dd7fe3e90, user: t1
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : New message from user: t1
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : End of message processing - session: abbb2b38-7c4b-55bc-0094-018dd7fe3e90 from: t1
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : New message from user: t1
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : End of message processing - session: abbb2b38-7c4b-55bc-0094-018dd7fe3e90 from: t1
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : New message from user: t1
2026-03-29 01:52:46 [tomcat-handler-47] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : End of message processing - session: abbb2b38-7c4b-55bc-0094-018dd7fe3e90 from: t1
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : New message from user: t1
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDc0NTU2NiwiZXhwIjoxNzc0NzQ2NDY2fQ.C2llLwjoNYRPHGvUJto6aQY0HFJisLg5IaGDIIC-Sv0S_yjIryjjAF2EFNSyl0H_, Granted Authorities=[USER]]
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : Sending message to owner: abbb2b38-7c4b-55bc-0094-018dd7fe3e90
2026-03-29 01:52:46 [tomcat-handler-47] INFO  : End of message processing - session: abbb2b38-7c4b-55bc-0094-018dd7fe3e90 from: t1
2026-03-29 01:59:06 [tomcat-handler-48] INFO  : Session closing: abbb2b38-7c4b-55bc-0094-018dd7fe3e90 - reason: null
2026-03-29 03:18:00 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2026-03-29 03:18:00 [tomcat-shutdown] INFO  : Graceful shutdown complete
2026-03-29 03:18:02 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-29 03:18:02 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2026-03-29 03:18:02 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
2026-03-29 03:28:14 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2026-03-29 03:28:14 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 14352 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2026-03-29 03:28:14 [main] INFO  : The following 1 profile is active: "dev"
2026-03-29 03:28:15 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-29 03:28:15 [main] INFO  : Finished Spring Data repository scanning in 122 ms. Found 3 JPA repository interfaces.
2026-03-29 03:28:17 [main] INFO  : Tomcat initialized with port 5443 (http)
2026-03-29 03:28:17 [main] INFO  : Initializing ProtocolHandler ["http-nio-5443"]
2026-03-29 03:28:17 [main] INFO  : Starting service [Tomcat]
2026-03-29 03:28:17 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-03-29 03:28:17 [main] INFO  : Initializing Spring embedded WebApplicationContext
2026-03-29 03:28:17 [main] INFO  : Root WebApplicationContext: initialization completed in 2609 ms
2026-03-29 03:28:18 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2026-03-29 03:28:18 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2026-03-29 03:28:18 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2026-03-29 03:28:18 [main] INFO  : Successfully validated 1 migration (execution time 00:00.034s)
2026-03-29 03:28:18 [main] INFO  : Current version of schema `shopping_list_db`: 1
2026-03-29 03:28:18 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2026-03-29 03:28:18 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-29 03:28:18 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2026-03-29 03:28:18 [main] INFO  : HHH000026: Second-level cache disabled
2026-03-29 03:28:18 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-29 03:28:18 [main] INFO  : HikariPool-1 - Starting...
2026-03-29 03:28:18 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@c14bbab
2026-03-29 03:28:18 [main] INFO  : HikariPool-1 - Start completed.
2026-03-29 03:28:18 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-29 03:28:19 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-29 03:28:19 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-29 03:28:20 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-29 03:28:20 [main] INFO  : Global AuthenticationManager configured with AuthenticationProvider bean with name jwtAuthenticationProvider
2026-03-29 03:28:20 [main] INFO  : Exposing 0 endpoints beneath base path '/actuator'
2026-03-29 03:28:21 [main] INFO  : Starting ProtocolHandler ["http-nio-5443"]
2026-03-29 03:28:21 [main] INFO  : Tomcat started on port 5443 (http) with context path '/'
2026-03-29 03:28:21 [main] INFO  : Started ShoppingListServiceApplication in 7.573 seconds (process running for 8.264)
2026-03-29 03:28:38 [tomcat-handler-0] INFO  : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-29 03:28:38 [tomcat-handler-0] INFO  : Initializing Servlet 'dispatcherServlet'
2026-03-29 03:28:38 [tomcat-handler-0] INFO  : Completed initialization in 1 ms
2026-03-29 03:34:34 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m2s997ms590µs400ns).
2026-03-29 03:34:34 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2026-03-29 03:34:34 [tomcat-shutdown] INFO  : Graceful shutdown complete
2026-03-29 03:34:36 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-29 03:34:36 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2026-03-29 03:34:36 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
2026-03-29 03:34:49 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2026-03-29 03:34:49 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 20584 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2026-03-29 03:34:49 [main] INFO  : The following 1 profile is active: "dev"
2026-03-29 03:34:50 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-29 03:34:50 [main] INFO  : Finished Spring Data repository scanning in 126 ms. Found 3 JPA repository interfaces.
2026-03-29 03:34:51 [main] INFO  : Tomcat initialized with port 5443 (http)
2026-03-29 03:34:52 [main] INFO  : Initializing ProtocolHandler ["http-nio-5443"]
2026-03-29 03:34:52 [main] INFO  : Starting service [Tomcat]
2026-03-29 03:34:52 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-03-29 03:34:52 [main] INFO  : Initializing Spring embedded WebApplicationContext
2026-03-29 03:34:52 [main] INFO  : Root WebApplicationContext: initialization completed in 2389 ms
2026-03-29 03:34:53 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2026-03-29 03:34:53 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2026-03-29 03:34:53 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2026-03-29 03:34:53 [main] INFO  : Successfully validated 1 migration (execution time 00:00.036s)
2026-03-29 03:34:53 [main] INFO  : Current version of schema `shopping_list_db`: 1
2026-03-29 03:34:53 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2026-03-29 03:34:53 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-29 03:34:53 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2026-03-29 03:34:53 [main] INFO  : HHH000026: Second-level cache disabled
2026-03-29 03:34:53 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-29 03:34:53 [main] INFO  : HikariPool-1 - Starting...
2026-03-29 03:34:53 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@7ce760af
2026-03-29 03:34:53 [main] INFO  : HikariPool-1 - Start completed.
2026-03-29 03:34:53 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-29 03:34:54 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-29 03:34:54 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-29 03:34:55 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-29 03:34:55 [main] INFO  : Global AuthenticationManager configured with AuthenticationProvider bean with name jwtAuthenticationProvider
2026-03-29 03:34:55 [main] INFO  : Exposing 0 endpoints beneath base path '/actuator'
2026-03-29 03:34:56 [main] INFO  : Starting ProtocolHandler ["http-nio-5443"]
2026-03-29 03:34:56 [main] INFO  : Tomcat started on port 5443 (http) with context path '/'
2026-03-29 03:34:56 [main] INFO  : Started ShoppingListServiceApplication in 7.205 seconds (process running for 7.867)
2026-03-29 03:44:19 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2026-03-29 03:44:19 [tomcat-shutdown] INFO  : Graceful shutdown complete
2026-03-29 03:44:19 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-29 03:44:19 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2026-03-29 03:44:19 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
2026-03-29 03:44:22 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2026-03-29 03:44:22 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 16580 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2026-03-29 03:44:22 [main] INFO  : The following 1 profile is active: "dev"
2026-03-29 03:44:23 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-29 03:44:23 [main] INFO  : Finished Spring Data repository scanning in 110 ms. Found 3 JPA repository interfaces.
2026-03-29 03:44:24 [main] INFO  : Tomcat initialized with port 5443 (http)
2026-03-29 03:44:24 [main] INFO  : Initializing ProtocolHandler ["http-nio-5443"]
2026-03-29 03:44:24 [main] INFO  : Starting service [Tomcat]
2026-03-29 03:44:24 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-03-29 03:44:24 [main] INFO  : Initializing Spring embedded WebApplicationContext
2026-03-29 03:44:24 [main] INFO  : Root WebApplicationContext: initialization completed in 2051 ms
2026-03-29 03:44:25 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2026-03-29 03:44:25 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2026-03-29 03:44:25 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2026-03-29 03:44:25 [main] INFO  : Successfully validated 1 migration (execution time 00:00.030s)
2026-03-29 03:44:25 [main] INFO  : Current version of schema `shopping_list_db`: 1
2026-03-29 03:44:25 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2026-03-29 03:44:25 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-29 03:44:25 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2026-03-29 03:44:25 [main] INFO  : HHH000026: Second-level cache disabled
2026-03-29 03:44:25 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-29 03:44:25 [main] INFO  : HikariPool-1 - Starting...
2026-03-29 03:44:25 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@3e4636c3
2026-03-29 03:44:25 [main] INFO  : HikariPool-1 - Start completed.
2026-03-29 03:44:25 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-29 03:44:26 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-29 03:44:26 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-29 03:44:27 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-29 03:44:27 [main] INFO  : Global AuthenticationManager configured with AuthenticationProvider bean with name jwtAuthenticationProvider
2026-03-29 03:44:28 [main] INFO  : Exposing 0 endpoints beneath base path '/actuator'
2026-03-29 03:44:28 [main] INFO  : Starting ProtocolHandler ["http-nio-5443"]
2026-03-29 03:44:28 [main] INFO  : Tomcat started on port 5443 (http) with context path '/'
2026-03-29 03:44:28 [main] INFO  : Started ShoppingListServiceApplication in 7.075 seconds (process running for 7.395)
2026-03-29 03:49:01 [tomcat-handler-0] INFO  : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-29 03:49:01 [tomcat-handler-0] INFO  : Initializing Servlet 'dispatcherServlet'
2026-03-29 03:49:01 [tomcat-handler-0] INFO  : Completed initialization in 1 ms
2026-03-29 03:50:05 [tomcat-handler-1] INFO  : New session connected: 53607aaa-7fa5-ca49-ed2b-ef1af385b7dc, user: t1
2026-03-29 03:50:05 [tomcat-handler-1] INFO  : New message from user: t1
2026-03-29 03:50:05 [tomcat-handler-1] INFO  : End of message processing - session: 53607aaa-7fa5-ca49-ed2b-ef1af385b7dc from: t1
2026-03-29 03:50:05 [tomcat-handler-1] INFO  : New message from user: t1
2026-03-29 03:50:05 [tomcat-handler-1] INFO  : End of message processing - session: 53607aaa-7fa5-ca49-ed2b-ef1af385b7dc from: t1
2026-03-29 03:50:05 [tomcat-handler-1] INFO  : New message from user: t1
2026-03-29 03:50:05 [tomcat-handler-1] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-29 03:50:05 [tomcat-handler-1] INFO  : End of message processing - session: 53607aaa-7fa5-ca49-ed2b-ef1af385b7dc from: t1
2026-03-29 03:50:05 [tomcat-handler-2] INFO  : New message from user: t1
2026-03-29 03:50:05 [tomcat-handler-2] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDc0ODk5NiwiZXhwIjoxNzc0NzQ5ODk2fQ.ku6EkC6Q8C3AjqvlumOgI66Z8m1VFfkB99i_9peu4CWxJwFP2vltst4G50-lUmhq, Granted Authorities=[USER]]
2026-03-29 03:50:09 [tomcat-handler-2] INFO  : Sending message to owner: 53607aaa-7fa5-ca49-ed2b-ef1af385b7dc
2026-03-29 03:50:09 [tomcat-handler-2] INFO  : End of message processing - session: 53607aaa-7fa5-ca49-ed2b-ef1af385b7dc from: t1
2026-03-29 03:50:38 [tomcat-handler-3] INFO  : Session closing: 53607aaa-7fa5-ca49-ed2b-ef1af385b7dc - reason: null
2026-03-29 03:50:39 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2026-03-29 03:50:39 [tomcat-shutdown] INFO  : Graceful shutdown complete
2026-03-29 03:50:42 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-29 03:50:42 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2026-03-29 03:50:42 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
2026-03-29 12:52:14 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2026-03-29 12:52:14 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 8400 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2026-03-29 12:52:14 [main] INFO  : The following 1 profile is active: "dev"
2026-03-29 12:52:16 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-29 12:52:16 [main] INFO  : Finished Spring Data repository scanning in 193 ms. Found 3 JPA repository interfaces.
2026-03-29 12:52:17 [main] INFO  : Tomcat initialized with port 5443 (http)
2026-03-29 12:52:17 [main] INFO  : Initializing ProtocolHandler ["http-nio-5443"]
2026-03-29 12:52:17 [main] INFO  : Starting service [Tomcat]
2026-03-29 12:52:17 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-03-29 12:52:17 [main] INFO  : Initializing Spring embedded WebApplicationContext
2026-03-29 12:52:17 [main] INFO  : Root WebApplicationContext: initialization completed in 2880 ms
2026-03-29 12:52:18 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2026-03-29 12:52:19 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2026-03-29 12:52:19 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2026-03-29 12:52:19 [main] INFO  : Successfully validated 1 migration (execution time 00:00.041s)
2026-03-29 12:52:19 [main] INFO  : Current version of schema `shopping_list_db`: 1
2026-03-29 12:52:19 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2026-03-29 12:52:19 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
